,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Unnamed: 10,SeriesFirstDown,Unnamed: 12,NextScore,Description,TeamWin,Unnamed: 16,Unnamed: 17,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
15,2020122602,2020-12-26,4,5,33,MIA,LV,1,10,65,,1,,0,(5:33) (SHOTGUN) 14-R.FITZPATRICK PASS DEEP MIDDLE TO 88-M.GESICKI TO LV 4 FOR 31 YARDS (54-R.MCMILLAN).,0,,,2020,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
18,2020122704,2020-12-27,1,0,42,NYJ,CLE,1,10,57,,1,,0,"(:42) 82-J.CROWDER PASS DEEP RIGHT TO 10-B.BERRIOS FOR 43 YARDS, TOUCHDOWN.",0,,,2020,43,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
81,2020122711,2020-12-27,3,7,12,LA,SEA,2,8,66,,1,,0,(7:12) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 89-T.HIGBEE TO SEA 12 FOR 22 YARDS (54-B.WAGNER).,0,,,2020,22,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,34,OPP,0,,0,,0
85,2021010301,2021-01-03,1,3,6,CAR,NO,2,6,67,,1,,0,(3:06) 5-T.BRIDGEWATER PASS DEEP RIGHT TO 10-C.SAMUEL PUSHED OB AT NO 8 FOR 25 YARDS (27-M.JENKINS).,0,,,2020,25,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,33,OPP,0,,0,,0
136,2021010311,2021-01-03,2,11,21,LV,DEN,3,2,72,,1,,0,"(11:21) (SHOTGUN) 4-D.CARR PASS DEEP RIGHT TO 83-D.WALLER FOR 28 YARDS, TOUCHDOWN [97-J.ATTAOCHU].",0,,,2020,28,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
151,2021010311,2021-01-03,1,2,9,DEN,LV,2,9,63,,1,,0,(2:09) (SHOTGUN) 3-D.LOCK PASS SHORT RIGHT TO 81-T.PATRICK TO LV 8 FOR 29 YARDS (26-N.LAWSON).,0,,,2020,29,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,37,OPP,0,,0,,0
194,2021010313,2021-01-03,2,0,55,JAX,IND,1,10,70,,1,,0,(:55) (SHOTGUN) 2-M.GLENNON PASS DEEP MIDDLE TO 14-T.GODWIN TO IND 9 FOR 21 YARDS (32-J.BLACKMON).,0,,,2020,21,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
214,2021010315,2021-01-03,4,1,4,SF,SEA,1,10,54,,1,,0,"(1:04) (NO HUDDLE, SHOTGUN) 3-C.BEATHARD PASS SHORT RIGHT TO 84-K.BOURNE TO SEA 25 FOR 21 YARDS (26-SQ.GRIFFIN).",0,,,2020,21,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,46,OPP,0,,0,,0
232,2021010312,2021-01-03,3,3,6,HOU,TEN,1,10,80,,1,,0,"(3:06) 4-D.WATSON PASS DEEP RIGHT TO 13-B.COOKS FOR 20 YARDS, TOUCHDOWN.",0,,,2020,20,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,20,OPP,0,,0,,0
239,2021010312,2021-01-03,3,8,15,HOU,TEN,1,10,62,,1,,0,"(8:15) 4-D.WATSON PASS DEEP MIDDLE TO 13-B.COOKS FOR 38 YARDS, TOUCHDOWN. HANDOFF TO 31-JOHNSON; PITCH TO 4-WATSON",0,,,2020,38,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,38,OPP,0,,0,,0
271,2021010314,2021-01-03,4,12,15,ARI,LA,1,10,56,,1,,0,(12:15) (SHOTGUN) 1-K.MURRAY PASS DEEP MIDDLE TO 85-D.ARNOLD TO LA 19 FOR 25 YARDS (31-D.WILLIAMS).,0,,,2020,25,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,44,OPP,0,,0,,0
292,2021010310,2021-01-03,4,3,2,TB,ATL,3,2,70,,0,,0,"(3:02) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 81-A.BROWN FOR 30 YARDS, TOUCHDOWN. PENALTY ON ATL-26-I.OLIVER, DEFENSIVE HOLDING, DECLINED.",0,,,2020,30,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,1,0,0,,30,OPP,0,ATL,0,DEFENSIVE HOLDING,0
300,2021010306,2021-01-03,3,0,55,LAC,KC,2,9,52,,1,,0,"(:55) 10-J.HERBERT PASS DEEP LEFT TO 81-M.WILLIAMS FOR 48 YARDS, TOUCHDOWN.",0,,,2020,48,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
337,2021010314,2021-01-03,3,11,14,LA,ARI,2,10,100,,1,,0,(11:14) (SHOTGUN) 9-J.WOLFORD PASS DEEP RIGHT TO 89-T.HIGBEE TO ARI 24 FOR 26 YARDS (32-B.BAKER).,0,,,2020,26,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
341,2021010314,2021-01-03,2,0,37,ARI,LA,2,7,68,,1,,0,"(:37) 15-C.STREVELER PASS DEEP RIGHT INTENDED FOR 16-T.SHERFIELD INTERCEPTED BY 22-T.HILL AT LA 16. 22-T.HILL FOR 84 YARDS, TOUCHDOWN.",0,,,2020,84,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,32,OPP,0,,0,,0
484,2020122011,2020-12-20,2,14,9,PHI,ARI,3,20,68,,1,,0,"(14:09) (SHOTGUN) 2-J.HURTS PASS SHORT LEFT TO 80-Q.WATKINS FOR 32 YARDS, TOUCHDOWN.",0,,,2020,32,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,32,OPP,0,,0,,0
503,2020122012,2020-12-20,1,2,9,KC,NO,2,10,59,,1,,0,"(2:09) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 11-D.ROBINSON RAN OB AT NO 18 FOR 23 YARDS (20-J.JENKINS). PASS 8, YAC 15",0,,,2020,23,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
520,2021010305,2021-01-03,1,4,53,DET,MIN,1,10,57,,1,,0,"(4:53) (SHOTGUN) 9-M.STAFFORD PASS DEEP RIGHT TO 11-M.JONES FOR 43 YARDS, TOUCHDOWN.",0,,,2020,43,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
553,2021010311,2021-01-03,4,1,33,LV,DEN,1,10,70,,1,,0,(1:33) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 83-D.WALLER TO DEN 9 FOR 21 YARDS (47-J.JEWELL).,0,,,2020,21,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
708,2021010310,2021-01-03,2,12,38,TB,ATL,3,10,75,,1,,0,"(12:38) (SHOTGUN) 12-T.BRADY PASS DEEP RIGHT TO 81-A.BROWN FOR 25 YARDS, TOUCHDOWN.",0,,,2020,25,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
716,2021010310,2021-01-03,1,5,50,ATL,TB,1,10,70,,1,,0,(5:50) 2-M.RYAN PASS SHORT MIDDLE TO 23-B.HILL PUSHED OB AT TB 4 FOR 26 YARDS (35-J.DEAN).,0,,,2020,26,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
721,2021010310,2021-01-03,1,11,12,TB,ATL,2,5,71,,1,,0,"(11:12) 12-T.BRADY PASS DEEP LEFT TO 14-C.GODWIN FOR 29 YARDS, TOUCHDOWN.",0,,,2020,29,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,29,OPP,0,,0,,0
737,2021010311,2021-01-03,3,5,16,DEN,LV,2,8,65,,1,,0,(5:16) (SHOTGUN) 3-D.LOCK PASS DEEP LEFT TO 87-N.FANT TO LV 15 FOR 20 YARDS (26-N.LAWSON).,0,,,2020,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
741,2021010311,2021-01-03,2,0,32,LV,DEN,3,15,74,,1,,0,"(:32) (SHOTGUN) 4-D.CARR PASS DEEP RIGHT TO 89-B.EDWARDS FOR 26 YARDS, TOUCHDOWN.",0,,,2020,26,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
754,2021010315,2021-01-03,4,12,8,SEA,SF,1,10,73,,1,,0,(12:08) 3-R.WILSON PASS SHORT RIGHT TO 89-W.DISSLY TO SF 7 FOR 20 YARDS (51-A.AL-SHAAIR).,0,,,2020,20,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,27,OPP,0,,0,,0
771,2021010309,2021-01-03,2,4,47,PHI,WAS,3,7,64,,1,,0,(4:47) (SHOTGUN) 2-J.HURTS PASS DEEP MIDDLE TO 19-J.ARCEGA-WHITESIDE TO WAS 6 FOR 30 YARDS (31-K.CURL).,0,,,2020,30,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,36,OPP,0,,0,,0
798,2021010305,2021-01-03,3,14,15,DET,MIN,2,3,74,,1,,0,"(14:15) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 11-M.JONES FOR 26 YARDS, TOUCHDOWN.",0,,,2020,26,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
802,2021010305,2021-01-03,2,0,11,MIN,DET,1,4,60,,1,,0,"(:11) (SHOTGUN) 8-K.COUSINS PASS DEEP LEFT TO 12-C.BEEBE FOR 40 YARDS, TOUCHDOWN.",0,,,2020,40,SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,40,OPP,0,,0,,0
821,2021010305,2021-01-03,4,6,58,DET,MIN,1,10,62,,1,,0,"(6:58) (SHOTGUN) 9-M.STAFFORD PASS DEEP MIDDLE TO 11-M.JONES FOR 38 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE DEEP MIDDLE TO 11-M.JONES.",0,,,2020,38,SHOTGUN,PASS,0,1,1,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,38,OPP,0,,0,,0
847,2021010300,2021-01-03,4,2,53,MIA,BUF,1,10,75,,1,,0,"(2:53) (NO HUDDLE, SHOTGUN) 1-T.TAGOVAILOA PASS DEEP RIGHT TO 10-M.PERRY FOR 25 YARDS, TOUCHDOWN.",0,,,2020,25,NO HUDDLE SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
868,2021010300,2021-01-03,3,13,50,MIA,BUF,1,10,55,,1,,0,(13:50) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP LEFT TO 11-D.PARKER PUSHED OB AT BUF 20 FOR 25 YARDS (29-J.NORMAN).,0,,,2020,25,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,45,OPP,0,,0,,0
870,2021010300,2021-01-03,2,1,7,BUF,MIA,2,10,68,,1,,0,"(1:07) (SHOTGUN) 17-J.ALLEN PASS DEEP RIGHT TO 15-J.BROWN FOR 32 YARDS, TOUCHDOWN.",0,,,2020,32,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,32,OPP,0,,0,,0
886,2021010301,2021-01-03,4,4,22,CAR,NO,2,23,69,,1,,0,(4:22) (SHOTGUN) 6-P.WALKER PASS DEEP MIDDLE INTENDED FOR 11-R.ANDERSON INTERCEPTED BY 26-P.WILLIAMS [92-M.DAVENPORT] AT NO 1. 26-P.WILLIAMS TO NO 31 FOR 30 YARDS (10-C.SAMUEL).,0,,,2020,30,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,31,OPP,0,,0,,0
897,2020122013,2020-12-20,4,0,7,SF,DAL,2,10,51,,1,,0,"(:07) (SHOTGUN) 3-C.BEATHARD PASS DEEP RIGHT TO 84-K.BOURNE FOR 49 YARDS, TOUCHDOWN.",0,,,2020,49,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,49,OPP,0,,0,,0
911,2020122600,2020-12-26,3,7,12,TB,DET,1,10,78,,1,,0,"(7:12) 11-B.GABBERT PASS DEEP LEFT TO 13-M.EVANS FOR 22 YARDS, TOUCHDOWN.",0,,,2020,22,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
915,2020122013,2020-12-20,4,1,11,SF,DAL,3,11,61,,1,,0,"(1:11) (NO HUDDLE, SHOTGUN) 3-C.BEATHARD PASS SHORT LEFT TO 28-J.MCKINNON TO DAL 16 FOR 23 YARDS (90-D.LAWRENCE).",0,,,2020,23,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
926,2020122012,2020-12-20,3,13,29,NO,KC,2,14,76,,1,,0,"(13:29) (SHOTGUN) 9-D.BREES PASS SHORT LEFT TO 28-L.MURRAY FOR 24 YARDS, TOUCHDOWN. PASS -1, YAC 25",0,,,2020,24,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,24,OPP,0,,0,,0
983,2020122713,2020-12-27,4,4,1,GB,TEN,3,10,59,,1,,0,(4:01) (SHOTGUN) 12-A.RODGERS PASS DEEP LEFT TO 17-D.ADAMS TO TEN 9 FOR 32 YARDS (21-M.BUTLER).,0,,,2020,32,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
1006,2020122712,2020-12-27,2,3,51,PHI,DAL,3,2,51,,1,,0,(3:51) (SHOTGUN) 2-J.HURTS PASS SHORT RIGHT TO 88-D.GOEDERT TO DAL 26 FOR 23 YARDS (23-D.THOMPSON; 37-D.WILSON).,0,,,2020,23,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,49,OPP,0,,0,,0
1020,2021010308,2021-01-03,2,0,52,NYG,DAL,1,10,67,,0,,0,"(:52) (SHOTGUN) 8-D.JONES PASS DEEP MIDDLE TO 13-D.PETTIS FOR 33 YARDS, TOUCHDOWN. PENALTY ON DAL-58-A.SMITH, ILLEGAL USE OF HANDS, DECLINED. THE REPLAY OFFICIAL REVIEWED THE RUNNER WAS NOT DOWN BY CONTACT RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,,,2020,33,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,1,0,0,,33,OPP,0,DAL,0,ILLEGAL USE OF HANDS,0
1036,2020122709,2020-12-27,2,4,8,IND,PIT,2,9,58,,1,,0,"(4:08) 17-P.RIVERS PASS DEEP MIDDLE TO 14-Z.PASCAL FOR 42 YARDS, TOUCHDOWN.",0,,,2020,42,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,42,OPP,0,,0,,0
1042,2020122708,2020-12-27,3,10,42,KC,ATL,3,7,93,,1,,0,"(10:42) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE INTENDED FOR 87-T.KELCE INTERCEPTED BY 54-F.OLUOKUN AT ATL 1. 54-F.OLUOKUN TO KC 48 FOR 51 YARDS (10-T.HILL). FUMBLES (10-T.HILL), BALL OUT OF BOUNDS AT KC 27.",0,,,2020,51,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,1,0,0,0,,7,OPP,0,,0,,0
1053,2020122706,2020-12-27,2,2,0,HOU,CIN,1,10,75,,1,,0,"(2:00) 4-D.WATSON PASS DEEP LEFT TO 13-B.COOKS FOR 25 YARDS, TOUCHDOWN.",0,,,2020,25,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
1111,2020121900,2020-12-19,1,6,22,BUF,DEN,3,9,70,,0,,0,"(6:22) (SHOTGUN) 17-J.ALLEN PASS DEEP RIGHT INTENDED FOR 13-G.DAVIS INTERCEPTED BY 41-D.BAUSBY AT DEN 8. 41-D.BAUSBY RAN OB AT DEN 31 FOR 23 YARDS. PENALTY ON DEN-97-J.ATTAOCHU, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT DEN 30 - NO PLAY.",0,,,2020,23,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,1,0,0,,30,OPP,1,DEN,1,DEFENSIVE OFFSIDE,5
1123,2020121700,2020-12-17,4,2,5,LV,LAC,2,8,79,,1,,0,(2:05) (SHOTGUN) 8-M.MARIOTA PASS SHORT MIDDLE INTENDED FOR 12-Z.JONES INTERCEPTED BY 25-C.HARRIS AT LAC 16. 25-C.HARRIS TO LV 33 FOR 51 YARDS (8-M.MARIOTA).,0,,,2020,51,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,21,OPP,0,,0,,0
1125,2020121700,2020-12-17,4,2,55,LV,LAC,1,10,52,,1,,0,(2:55) 8-M.MARIOTA PASS DEEP RIGHT TO 83-D.WALLER RAN OB AT LAC 23 FOR 25 YARDS (26-C.HAYWARD JR.).,0,,,2020,25,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
1141,2020122005,2020-12-20,3,12,11,TB,ATL,1,10,67,,1,,0,(12:11) (SHOTGUN) 12-T.BRADY PASS DEEP MIDDLE TO 13-M.EVANS TO ATL 1 FOR 32 YARDS (22-K.NEAL) [96-T.DAVISON]. TB-13-M.EVANS WAS INJURED DURING THE PLAY.,0,,,2020,32,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,33,OPP,0,,0,,0
1193,2020121900,2020-12-19,3,14,52,BUF,DEN,1,10,57,,1,,0,(14:52) (SHOTGUN) 17-J.ALLEN PASS DEEP LEFT TO 11-C.BEASLEY TO DEN 21 FOR 22 YARDS (27-W.PARKS).,0,,,2020,22,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
1221,2020121400,2020-12-14,4,1,10,CLE,BAL,1,10,78,,1,,0,"(1:10) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 27-K.HUNT FOR 22 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER BROKE THE PLANE RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,,,2020,22,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
1240,2020122011,2020-12-20,1,6,24,ARI,PHI,1,10,100,,1,,0,(6:24) (SHOTGUN) 1-K.MURRAY PASS SHORT RIGHT TO 87-M.WILLIAMS TO PHI 8 FOR 42 YARDS (22-M.EPPS).,0,,,2020,42,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
1255,2021010305,2021-01-03,2,13,24,DET,MIN,2,6,80,,1,,0,"(13:24) (NO HUDDLE) 9-M.STAFFORD PASS DEEP LEFT TO 87-Q.CEPHUS FOR 20 YARDS, TOUCHDOWN.",0,,,2020,20,NO HUDDLE,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,20,OPP,0,,0,,0
1260,2021010305,2021-01-03,1,0,43,MIN,DET,4,2,72,,1,,0,"(:43) 8-K.COUSINS PASS SHORT RIGHT TO 25-A.MATTISON FOR 28 YARDS, TOUCHDOWN.",0,,,2020,28,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
1273,2021010307,2021-01-03,4,11,51,NE,NYJ,1,10,69,,1,,0,"(11:51) 1-C.NEWTON PASS SHORT RIGHT TO 26-S.MICHEL FOR 31 YARDS, TOUCHDOWN.",0,,,2020,31,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,31,OPP,0,,0,,0
1285,2020122709,2020-12-27,3,7,9,PIT,IND,1,10,52,,1,,0,(7:09) (SHOTGUN) 7-B.ROETHLISBERGER PASS DEEP RIGHT TO 11-C.CLAYPOOL TO IND 14 FOR 34 YARDS (38-T.CARRIE).,0,,,2020,34,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
1289,2020122709,2020-12-27,2,0,2,PIT,IND,1,10,60,,1,,0,"(:02) (SHOTGUN) 7-B.ROETHLISBERGER PASS DEEP LEFT TO 19-J.SMITH-SCHUSTER TO IND 18 FOR 22 YARDS. FUMBLES, RECOVERED BY PIT-18-DI.JOHNSON AT IND 20. 18-DI.JOHNSON TO IND 16 FOR 4 YARDS (27-X.RHODES; 37-K.WILLIS).",0,,,2020,22,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,1,0,0,0,,40,OPP,0,,0,,0
1340,2020122704,2020-12-27,3,10,32,NYJ,CLE,3,6,70,,1,,0,"(10:32) (SHOTGUN) 14-S.DARNOLD PASS DEEP RIGHT TO 82-J.CROWDER FOR 30 YARDS, TOUCHDOWN.",0,,,2020,30,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
1353,2021010307,2021-01-03,4,14,4,NE,NYJ,2,2,74,,1,,0,"(14:04) (NO HUDDLE, SHOTGUN) 1-C.NEWTON PASS DEEP RIGHT TO 86-D.ASIASI FOR 26 YARDS, TOUCHDOWN.",0,,,2020,26,NO HUDDLE SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
1363,2021010303,2021-01-03,1,3,54,BAL,CIN,1,10,57,,1,,0,"(3:54) (SHOTGUN) 8-L.JACKSON PASS DEEP MIDDLE TO 80-M.BOYKIN FOR 43 YARDS, TOUCHDOWN.",0,,,2020,43,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
1432,2020122008,2020-12-20,4,8,14,MIN,CHI,1,10,80,,1,,0,"(8:14) 8-K.COUSINS PASS SHORT RIGHT TO 83-T.CONKLIN FOR 20 YARDS, TOUCHDOWN.",0,,,2020,20,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,20,OPP,0,,0,,0
1462,2020121306,2020-12-13,3,6,9,NYG,ARI,3,4,60,,1,,0,"(6:09) (NO HUDDLE, SHOTGUN) 8-D.JONES PASS DEEP MIDDLE TO 15-G.TATE III TO ARI 1 FOR 39 YARDS (33-B.MURPHY).",0,,,2020,39,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,40,OPP,0,,0,,0
1473,2020121306,2020-12-13,2,1,56,ARI,NYG,3,5,64,,1,,0,"(1:56) (SHOTGUN) 1-K.MURRAY PASS DEEP RIGHT TO 85-D.ARNOLD RAN OB AT NYG 10 FOR 26 YARDS. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP RIGHT TO 85-D.ARNOLD.",0,,,2020,26,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,36,OPP,0,,0,,0
1504,2020121305,2020-12-13,4,0,36,MIA,KC,1,10,52,,1,,0,"(:36) (NO HUDDLE, SHOTGUN) 1-T.TAGOVAILOA PASS DEEP MIDDLE TO 15-L.BOWDEN TO KC 26 FOR 22 YARDS (22-J.THORNHILL).",0,,,2020,22,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
1585,2020122004,2020-12-20,4,10,53,TEN,DET,1,15,71,,1,,0,(10:53) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 32-D.EVANS PUSHED OB AT DET 5 FOR 24 YARDS (43-A.MYRES).,0,,,2020,24,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,29,OPP,0,,0,,0
1620,2020122601,2020-12-26,3,7,53,SF,ARI,2,8,54,,1,,0,(7:53) (SHOTGUN) 3-C.BEATHARD PASS DEEP RIGHT TO 85-G.KITTLE TO ARI 19 FOR 27 YARDS (31-C.BANJO; 32-B.BAKER).,0,,,2020,27,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,46,OPP,0,,0,,0
1644,2020122600,2020-12-26,3,14,55,TB,DET,1,10,75,,1,,0,"(14:55) 73-J.HAEG REPORTED IN AS ELIGIBLE.  11-B.GABBERT PASS DEEP MIDDLE TO 87-R.GRONKOWSKI FOR 25 YARDS, TOUCHDOWN.",0,,,2020,25,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
1665,2020121303,2020-12-13,4,2,54,DET,GB,3,9,68,,1,,0,(2:54) (SHOTGUN) 4-C.DANIEL PASS DEEP LEFT TO 11-M.JONES TO GB 9 FOR 23 YARDS (31-A.AMOS) [96-K.KEKE]. DET-11-M.JONES WAS INJURED DURING THE PLAY.,0,,,2020,23,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,32,OPP,0,,0,,0
